entity,n-revs
Src/FluentAssertions/Formatting/XmlReaderValueFormatter.cs,2
Src/FluentAssertions/Equivalency/Selection/ExcludeMemberByPathSelectionRule.cs,2
Tests/FluentAssertions.Specs/Primitives/StringAssertionSpecs.Contain.cs,2
Src/FluentAssertions/Equivalency/MemberSelectionContext.cs,2
Tests/FluentAssertions.Specs/Primitives/StringAssertionSpecs.StartWith.cs,2
Tests/FluentAssertions.Specs/CultureAwareTesting/CulturedXunitTestCase.cs,2
Tests/FluentAssertions.Specs/AndWhichConstraintSpecs.cs,2
Src/FluentAssertions/StringSyntaxAttribute.cs,2
Tests/FluentAssertions.Specs/CultureAwareTesting/CulturedTheoryAttributeDiscoverer.cs,2
Src/FluentAssertions/Common/ObjectExtensions.cs,2
Tests/FluentAssertions.Specs/Types/TypeAssertionSpecs.Implement.cs,2
Src/FluentAssertions/Formatting/ExpressionValueFormatter.cs,2
Tests/FluentAssertions.Specs/Types/TypeAssertionSpecs.BeDecoratedWith.cs,2
